"","School Name","URL","State","index"
"213","Western Michigan University","http://wmich.edu","MI",213
"214","Pikes Peak Community College","http://ppcc.edu","CO",214
"215","Babson College","http://babson.edu","MA",215
"216","Messiah College","http://messiah.edu","PA",216
"217","Webster University","http://webster.edu","MO",217
"218","Vassar College","http://vassar.edu","NY",218
"219","Valdosta State University","http://valdosta.edu","GA",219
"220","Faulkner State Community College","http://faulknerstate.edu","AL",220
"221","Eastern New Mexico University","http://enmu.edu","NM",221
"222","Winona State Unviversity","http://winona.edu","MN",222
"223","Los Angeles Mission College","http://lamission.edu","CA",223
"224","Niagara University","http://niagara.edu","NY",224
"225","Kenyon College","http://kenyon.edu","OH",225
"226","American Public University System","http://apus.edu","WV",226
"227","Boston University","http://bu.edu","MA",227
